gene,beta,beta_se,beta_z,pvalue,tau_star,tau_star_se,tau_star_z,celltype,run_prefix,gwas,h2_obs,n_snps,annot_sd,deltaZ,gene_symbol,type,modality
ENSG00000166575,1.69412268689273e-09,7.02207682388517e-10,2.41256643779555,0.0079203250789727,0.0566923544632679,0.0234987744068387,2.41256643779554,Mesen_EndoStromalFib_Prolif,postnatal_uterus,FGTpolyps_Pathare2025,0.0095,1163195,0.27330697418909,0.263514450412989,TMEM135,Gene,Expression
ENSG00000104447,1.69484980337412e-09,7.03115885613782e-10,2.41048430003058,0.0079656784927838,0.0567166867891483,0.0235291666444079,2.41048430003058,Mesen_EndoStromalFib_Prolif,postnatal_uterus,FGTpolyps_Pathare2025,0.0095,1163195,0.27330697418909,0.265596588177957,TRPS1,Gene,Expression
ENSG00000132394,1.80235847986749e-09,6.80725845757329e-10,2.64770096669727,0.0040520587586878,0.0603143719171471,0.0227799032729829,2.64770096669727,Mesen_EndoStromalFib_Prolif,postnatal_uterus,FGTpolyps_Pathare2025,0.0095,1163195,0.27330697418909,0.028379921511267,EEFSEC,Gene,Expression
ENSG00000249782,1.83121119310909e-09,7.0817642575597e-10,2.58581213170756,0.004857493317246,0.0612799030790723,0.0236985132553329,2.58581213170756,Mesen_EndoStromalFib_Prolif,postnatal_uterus,FGTpolyps_Pathare2025,0.0095,1163195,0.27330697418909,0.0902687565009703,AC091953.1,Gene,Expression
ENSG00000260981,1.83196612961382e-09,7.0850721577004e-10,2.58567039098219,0.0048594910882225,0.061305166378038,0.0237095828578332,2.58567039098219,Mesen_EndoStromalFib_Prolif,postnatal_uterus,FGTpolyps_Pathare2025,0.0095,1163195,0.27330697418909,0.0904104972263489,AC091932.1,Gene,Expression
ENSG00000058262,1.83315976466195e-09,6.88622387920059e-10,2.66206820576789,0.0038831069983367,0.0613451103453621,0.0230441542453518,2.66206820576789,Mesen_EndoStromalFib_Prolif,postnatal_uterus,FGTpolyps_Pathare2025,0.0095,1163195,0.27330697418909,0.0140126824406486,SEC61A1,Gene,Expression
ENSG00000228340,1.83886921552037e-09,7.15699676268201e-10,2.56933079124556,0.0050947570128705,0.0615361721936924,0.0239502723445979,2.56933079124556,Mesen_EndoStromalFib_Prolif,postnatal_uterus,FGTpolyps_Pathare2025,0.0095,1163195,0.27330697418909,0.106750096962976,MIR646HG,Gene,Expression
ENSG00000169855,1.83959403059334e-09,7.15497380089561e-10,2.57107025376259,0.0050692378856814,0.0615604275049253,0.0239435026774689,2.57107025376259,Mesen_EndoStromalFib_Prolif,postnatal_uterus,FGTpolyps_Pathare2025,0.0095,1163195,0.27330697418909,0.105010634445944,ROBO1,Gene,Expression
ENSG00000150275,1.84662776099668e-09,7.08866774352317e-10,2.60504205840923,0.0045931491359594,0.0617958052259783,0.0237216151756544,2.60504205840923,Mesen_EndoStromalFib_Prolif,postnatal_uterus,FGTpolyps_Pathare2025,0.0095,1163195,0.27330697418909,0.0710388297993005,PCDH15,Gene,Expression
ENSG00000251574,1.84680969982026e-09,7.11241031882591e-10,2.59660173841759,0.0047075509348808,0.0618018936517794,0.0238010676560058,2.59660173841759,Mesen_EndoStromalFib_Prolif,postnatal_uterus,FGTpolyps_Pathare2025,0.0095,1163195,0.27330697418909,0.0794791497909455,AC099520.1,Gene,Expression
ENSG00000099810,1.84951113742293e-09,7.08677857881626e-10,2.60980517008316,0.0045296901096378,0.0618922949310468,0.0237152932489112,2.60980517008316,Mesen_EndoStromalFib_Prolif,postnatal_uterus,FGTpolyps_Pathare2025,0.0095,1163195,0.27330697418909,0.0662757181253761,MTAP,Gene,Expression
ENSG00000100154,1.85146207370444e-09,7.14313037385498e-10,2.59194775512021,0.0047717131611946,0.0619575813309413,0.0239038696704239,2.59194775512021,Mesen_EndoStromalFib_Prolif,postnatal_uterus,FGTpolyps_Pathare2025,0.0095,1163195,0.27330697418909,0.0841331330883279,TTC28,Gene,Expression
ENSG00000254275,1.85240032106138e-09,7.16021544815643e-10,2.58707344000148,0.004839747967571,0.0619889789694626,0.0239610433979126,2.58707344000148,Mesen_EndoStromalFib_Prolif,postnatal_uterus,FGTpolyps_Pathare2025,0.0095,1163195,0.27330697418909,0.0890074482070577,LINC00824,Gene,Expression
ENSG00000266505,1.85291875338059e-09,7.08925505933723e-10,2.61370022360829,0.0044783792831716,0.0620063278598548,0.0237235805773676,2.61370022360829,Mesen_EndoStromalFib_Prolif,postnatal_uterus,FGTpolyps_Pathare2025,0.0095,1163195,0.27330697418909,0.0623806646002465,AL354674.1,Gene,Expression
ENSG00000134986,1.85496649422353e-09,7.05176668759794e-10,2.63049896061634,0.0042629815161159,0.0620748537408995,0.0235981289748751,2.63049896061634,Mesen_EndoStromalFib_Prolif,postnatal_uterus,FGTpolyps_Pathare2025,0.0095,1163195,0.27330697418909,0.0455819275921927,NREP,Gene,Expression
ENSG00000184349,1.8569680979789e-09,7.05202030800782e-10,2.63324269765679,0.0042286944758239,0.0621418356841035,0.023598977693701,2.63324269765679,Mesen_EndoStromalFib_Prolif,postnatal_uterus,FGTpolyps_Pathare2025,0.0095,1163195,0.27330697418909,0.042838190551747,EFNA5,Gene,Expression
ENSG00000285619,1.85785731834323e-09,6.95860301921218e-10,2.66987111236813,0.0037940183936057,0.0621715926766051,0.0232863647943888,2.66987111236813,Mesen_EndoStromalFib_Prolif,postnatal_uterus,FGTpolyps_Pathare2025,0.0095,1163195,0.27330697418909,0.00620977584040139,AL449214.1,Gene,Expression
ENSG00000152990,1.85815906394338e-09,7.14055441740114e-10,2.60226161068831,0.0046305588025108,0.0621816903328456,0.0238952494543385,2.60226161068831,Mesen_EndoStromalFib_Prolif,postnatal_uterus,FGTpolyps_Pathare2025,0.0095,1163195,0.27330697418909,0.073819277520228,ADGRA3,Gene,Expression
ENSG00000069206,1.8587608539994e-09,7.1218647389617e-10,2.60993563080558,0.0045279630472539,0.0622018287180006,0.0238327060575059,2.60993563080558,Mesen_EndoStromalFib_Prolif,postnatal_uterus,FGTpolyps_Pathare2025,0.0095,1163195,0.27330697418909,0.0661452574029568,ADAM7,Gene,Expression
ENSG00000237975,1.85900850505216e-09,7.11469042946605e-10,2.61291552103649,0.0044886744789294,0.0622101161468716,0.0238086978495937,2.61291552103649,Mesen_EndoStromalFib_Prolif,postnatal_uterus,FGTpolyps_Pathare2025,0.0095,1163195,0.27330697418909,0.0631653671720418,FLG-AS1,Gene,Expression
ENSG00000286044,1.86091257061601e-09,7.11344171385451e-10,2.61605091525751,0.0044476646076104,0.0622738340586273,0.0238045191305068,2.61605091525751,Mesen_EndoStromalFib_Prolif,postnatal_uterus,FGTpolyps_Pathare2025,0.0095,1163195,0.27330697418909,0.0600299729510203,AP001977.1,Gene,Expression
ENSG00000253300,1.86214638705827e-09,7.11876697694906e-10,2.61582714125635,0.0044505803649634,0.0623151226616481,0.0238223396641259,2.61582714125635,Mesen_EndoStromalFib_Prolif,postnatal_uterus,FGTpolyps_Pathare2025,0.0095,1163195,0.27330697418909,0.060253746952188,AC018541.1,Gene,Expression
ENSG00000184564,1.86232514571336e-09,7.13917572954772e-10,2.60859967069523,0.00454567657378,0.0623211046658535,0.0238906357943547,2.60859967069523,Mesen_EndoStromalFib_Prolif,postnatal_uterus,FGTpolyps_Pathare2025,0.0095,1163195,0.27330697418909,0.0674812175133024,SLITRK6,Gene,Expression
ENSG00000146374,1.86340521943211e-09,7.09384203872908e-10,2.62679265940627,0.0043096918364275,0.0623572484012417,0.0237389305082557,2.62679265940627,Mesen_EndoStromalFib_Prolif,postnatal_uterus,FGTpolyps_Pathare2025,0.0095,1163195,0.27330697418909,0.049288228802264,RSPO3,Gene,Expression
ENSG00000248869,1.86584686637796e-09,7.16300366047359e-10,2.6048386330918,0.0045958769575032,0.0624389560102591,0.0239703739099367,2.6048386330918,Mesen_EndoStromalFib_Prolif,postnatal_uterus,FGTpolyps_Pathare2025,0.0095,1163195,0.27330697418909,0.0712422551167315,LINC02511,Gene,Expression
