pathway,pval,padj,log2err,ES,NES,size,leadingEdge,qvalue
GOBP_OXIDATIVE_PHOSPHORYLATION,1.66259057011082e-05,0.0581407922367755,0.575610261071129,0.954171608750786,1.72976018798389,34,TMEM135|SIRT3|NDUFS1,0.0498277855688863
GOCC_LIPID_DROPLET,0.000116774967918999,0.20418103140637,0.538434096309916,0.903445122767023,1.69250359398369,43,TMEM135|ZFYVE1|PLA2G4C|APOB,0.174987100428869
GOBP_PEROXISOME_ORGANIZATION,0.000183849651332373,0.214307410236436,0.518848077743792,0.950553488790322,1.59976992024727,23,TMEM135|ABCD3,0.183665603309927
GOCC_MICROBODY_MEMBRANE,0.000377474557421678,0.330007131825902,0.49849310876659,0.895640951131094,1.63606262855405,37,TMEM135|FAR2|GDAP1,0.282822506681003
GOBP_RESPONSE_TO_COLD,0.00075549649401247,0.528394247912322,0.477270815362862,0.94382464660594,1.57450500622129,21,TMEM135|ZNF516|SCN11A,0.452844109409203
GOCC_ENDOPLASMIC_RETICULUM_GOLGI_INTERMEDIATE_COMPARTMENT_MEMBRANE,0.00245325184866309,0.858498065982487,0.431707695803346,0.829765600436603,1.59047608546957,50,ROBO1|VPS13B|ZDHHC20|GALNT1|SURF4|AZIN2|DCSTAMP|VMP1|COPZ2|ERGIC1|CTSC,0.735749478075076
GOCC_PROTEASOME_ACCESSORY_COMPLEX,0.00335545687552688,0.97783605780979,0.431707695803346,0.930443768195279,1.50638098525259,17,SEM1|PSMD2,0.838024449540483
GOBP_PROTEINOGENIC_AMINO_ACID_BIOSYNTHETIC_PROCESS,0.00551670827853558,0.980754288446596,0.407017918923954,0.91590358210334,1.52792659147395,21,MTAP|BHMT2,0.840525429744178
GOMF_FRIZZLED_BINDING,0.00848302793212353,0.980754288446596,0.380730400722792,0.902318929501023,1.53521693757199,24,WNT9A|RSPO3|MAGI3|LRP6|RYK|ZNRF3|CTHRC1,0.840525429744178
GOBP_REGULATION_OF_DEFENSE_RESPONSE_TO_VIRUS_BY_HOST,0.00849118419264626,0.980754288446596,0.380730400722792,0.905437099376173,1.48328091797773,19,IL15|RNF216|STAT1,0.840525429744178
GOBP_RESPONSE_TO_TEMPERATURE_STIMULUS,0.00869773130507783,0.980754288446596,0.380730400722792,0.742003283211367,1.54417200767712,81,TMEM135|EPHB1|IGF1|ATM|NF1,0.840525429744178
GOBP_FATTY_ACID_BIOSYNTHETIC_PROCESS,0.0103781299929697,0.980754288446596,0.380730400722792,0.785297042365513,1.53630270864317,57,TMEM135|CTHRC1,0.840525429744178
GOMF_MOLECULAR_CARRIER_ACTIVITY,0.0121688041627191,0.980754288446596,0.380730400722792,0.786194787892152,1.55473400251003,62,SMARCAD1|KPNA3|RANBP17|XPO7|DUSP16|XPO6,0.840525429744178
GOBP_REGULATION_OF_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,0.0133695755355986,0.980754288446596,0.380730400722792,0.791980380118071,1.55555642309533,61,TMEM135|SIRT3|RUBCNL|HDAC4|IGF1|INSR,0.840525429744178
GOBP_CARTILAGE_DEVELOPMENT,0.0137832797109435,0.980754288446596,0.380730400722792,0.668961478230869,1.43715237525935,112,TRPS1|WNT9A|COL11A1|STC1|SULF2|RARB|COL27A1|GPLD1|BMP2|ZEB1|AXIN2|GLG1|ADAMTS12|CCN4|PRRX1|RUNX2,0.840525429744178
GOBP_REGULATION_OF_CELLULAR_RESPIRATION,0.0151800067795845,0.980754288446596,0.380730400722792,0.910596305647205,1.45750751341531,16,TMEM135|SIRT3|PIK3CA,0.840525429744178
GOBP_CONNECTIVE_TISSUE_DEVELOPMENT,0.0152256273406796,0.980754288446596,0.380730400722792,0.654539299183489,1.45380328556275,162,TRPS1|WNT9A|COL11A1|VPS13B|STC1|SULF2|RARB|FTO|RXFP1|NCOA2|COL27A1|GPLD1|BMP2|LARGE1|ZEB1|AXIN2|GLG1|ADAMTS12|CCN4|GDF7|IGF1|PRRX1|RUNX2,0.840525429744178
GOBP_DNA_REPAIR,0.0176517303025752,0.980754288446596,0.352487857583619,0.559735297604049,1.34010431876894,368,SMARCAD1|FMN2|ZRANB3|FGF10|SEM1|FTO|BABAM2|RAD17|SPIRE1|AXIN2|RAD18|DNTT|HERC2|SHLD1|UIMC1|RFC3|SLC30A9|ATM|NPAS2|DYRK1A|PRIMPOL|CSNK2A1|MMS22L|HLTF|EMSY|ZNF365|ABRAXAS1|KMT5B|SLF2|PAXIP1|SPIDR|SUPT3H|UBE2W|TAOK1|SMC3|PARG|POGZ|MLH3|TOP3A|FANCL|COMMD1|HELLS|EYA3|TP53BP1|PPP4R3A|RAD50|SMC6|UVSSA|CEP164|UBR5|USP45|INO80|CDK7|MCM9|CSNK2A2|MSH3|UBE2V2,0.840525429744178
GOMF_DNA_BINDING_TRANSCRIPTION_REPRESSOR_ACTIVITY,0.0185692664559567,0.980754288446596,0.352487857583619,0.615777811217893,1.36574172502387,155,TRPS1|MITF|ZNF536|ZEB1|ZNF98|PRDM1|PRRX1|TCF7L2|ELK3|ZNF281|TBX3|NKX6-1|ZNF91|MXI1|ETS2|DACH1,0.840525429744178
GOBP_CELLULAR_RESPIRATION,0.0197817333737277,0.980754288446596,0.352487857583619,0.69332174391797,1.50092431626292,117,TMEM135|SIRT3|SLC25A13|HDAC4|HK1|IGF1|INSR|COX10|SUCLG2,0.840525429744178
GOBP_REGULATION_OF_AMPA_RECEPTOR_ACTIVITY,0.0197918915056439,0.980754288446596,0.352487857583619,0.885721834558732,1.47757686520183,21,SEM1|CACNG7,0.840525429744178
GOBP_REGULATION_OF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY,0.0197918915056439,0.980754288446596,0.352487857583619,0.885721834558732,1.47757686520183,21,SEM1|CACNG7,0.840525429744178
GOCC_TRANS_GOLGI_NETWORK_MEMBRANE,0.0199768674903076,0.980754288446596,0.352487857583619,0.73197554103601,1.4617787556788,68,VPS13B|CALN1|COG5|VTI1A|AP4E1|COG7|HTR7|MYO1B|NSG2|COG6|KIF13A|CLVS2,0.840525429744178
GOBP_MATERNAL_PROCESS_INVOLVED_IN_FEMALE_PREGNANCY,0.02041524548206,0.980754288446596,0.352487857583619,0.850057414502876,1.49362936927019,28,ESR1|STC1|CSMD1|PRDM1|PGR|BMPR2,0.840525429744178
GOBP_REGULATION_OF_CARTILAGE_DEVELOPMENT,0.0207624869035107,0.980754288446596,0.352487857583619,0.781369184199251,1.47977173242423,45,TRPS1|WNT9A|RARB|BMP2|AXIN2|GLG1|ADAMTS12|CCN4|RUNX2|GLI3|GREM1|BMPR2|ADAMTS7,0.840525429744178
GOBP_REGULATION_OF_SIGNALING_RECEPTOR_ACTIVITY,0.0213505917170154,0.980754288446596,0.352487857583619,0.846556574832825,1.52537216190593,32,SEM1|CAV3|CACNG7|RARRES2,0.840525429744178
GOMF_NUCLEOCYTOPLASMIC_CARRIER_ACTIVITY,0.0247322563812132,0.980754288446596,0.352487857583619,0.855439356598943,1.48621456371715,26,KPNA3|RANBP17|XPO7|XPO6|IPO9,0.840525429744178
GOMF_SIGNAL_SEQUENCE_BINDING,0.0252405069975569,0.980754288446596,0.352487857583619,0.824218344481948,1.47378416861691,31,KPNA3|BABAM2|SEC61A1|SEC61A2|SRP54,0.840525429744178
