gene,beta,beta_se,beta_z,pvalue,tau_star,tau_star_se,tau_star_z,celltype,run_prefix,gwas,h2_obs,n_snps,annot_sd,deltaZ,gene_symbol,type,modality
ENSG00000286044,3.72736966405333e-09,1.20984290296402e-09,3.08087079315965,0.0010319809559787,0.0424918434927186,0.0137921536946833,3.08087079315965,Mesen_MyoFib,postnatal_uterus,HMB_Thibord2025,0.0178,1165846,0.174053163910254,0.122074745584836,AP001977.1,Gene,Expression
ENSG00000146476,3.76041730353538e-09,1.17790555995911e-09,3.19246078069784,0.0007053305003588,0.0428685850695516,0.0134280694468488,3.19246078069784,Mesen_MyoFib,postnatal_uterus,HMB_Thibord2025,0.0178,1165846,0.174053163910254,0.0104847580466454,ARMT1,Gene,Expression
ENSG00000255750,3.80797539774147e-09,1.18736773474372e-09,3.20707333230962,0.0006704640454745,0.0434107451658001,0.0135359378061172,3.20707333230962,Mesen_MyoFib,postnatal_uterus,HMB_Thibord2025,0.0178,1165846,0.174053163910254,-0.0041277935651407,AC022509.1,Gene,Expression
ENSG00000003436,3.80825167883435e-09,1.23026800346376e-09,3.09546510850678,0.0009825224550724,0.043413894757608,0.0140249989051081,3.09546510850678,Mesen_MyoFib,postnatal_uterus,HMB_Thibord2025,0.0178,1165846,0.174053163910254,0.107480430237705,TFPI,Gene,Expression
ENSG00000152219,3.81017712554397e-09,1.23945554893937e-09,3.07407323223848,0.0010557879622798,0.0434358447619308,0.0141297365028294,3.07407323223848,Mesen_MyoFib,postnatal_uterus,HMB_Thibord2025,0.0178,1165846,0.174053163910254,0.128872306506004,ARL14EP,Gene,Expression
ENSG00000151640,3.82041522350173e-09,1.23889456834522e-09,3.08372909294825,0.0010221182542652,0.0435525586098433,0.0141233413497436,3.08372909294825,Mesen_MyoFib,postnatal_uterus,HMB_Thibord2025,0.0178,1165846,0.174053163910254,0.119216445796234,DPYSL4,Gene,Expression
ENSG00000091831,3.82041751301523e-09,1.19339560403076e-09,3.20130013895774,0.0006840447318568,0.0435525847101924,0.0136046552399713,3.20130013895774,Mesen_MyoFib,postnatal_uterus,HMB_Thibord2025,0.0178,1165846,0.174053163910254,0.00164539978674005,ESR1,Gene,Expression
ENSG00000239608,3.83856732047406e-09,1.24054914092346e-09,3.09424850160845,0.0009865607142641,0.0437594916841374,0.0141422034013721,3.09424850160845,Mesen_MyoFib,postnatal_uterus,HMB_Thibord2025,0.0178,1165846,0.174053163910254,0.108697037136037,RUVBL1-AS1,Gene,Expression
ENSG00000148948,3.84049930680928e-09,1.23118657434011e-09,3.1193479419378,0.000906258933721,0.0437815162398926,0.0140354705710369,3.1193479419378,Mesen_MyoFib,postnatal_uterus,HMB_Thibord2025,0.0178,1165846,0.174053163910254,0.0835975968066847,LRRC4C,Gene,Expression
ENSG00000230630,3.85941884767297e-09,1.21939349712502e-09,3.16503151507072,0.0007753307721069,0.0439971981394067,0.0139010300307937,3.16503151507072,Mesen_MyoFib,postnatal_uterus,HMB_Thibord2025,0.0178,1165846,0.174053163910254,0.0379140236737641,DNM3OS,Gene,Expression
ENSG00000196569,3.85992982987635e-09,1.23201553236153e-09,3.13302042749219,0.0008650870018506,0.0440030233131272,0.0140449206545229,3.13302042749219,Mesen_MyoFib,postnatal_uterus,HMB_Thibord2025,0.0178,1165846,0.174053163910254,0.0699251112522918,LAMA2,Gene,Expression
ENSG00000162552,3.86329335346087e-09,1.22384523763506e-09,3.15668455018563,0.0007978693650364,0.0440413673279738,0.0139517796687616,3.15668455018563,Mesen_MyoFib,postnatal_uterus,HMB_Thibord2025,0.0178,1165846,0.174053163910254,0.0462609885588519,WNT4,Gene,Expression
