gene,beta,beta_se,beta_z,pvalue,tau_star,tau_star_se,tau_star_z,celltype,run_prefix,gwas,h2_obs,n_snps,annot_sd,deltaZ,gene_symbol,type,modality
ENSG00000174371,2.3358687828779e-08,5.63411163008231e-09,4.14593983265428,1.69211346154612e-05,0.0406672430337048,0.00980893227475256,4.14593983265428,Germcells,postnatal_ovary,age-at-menopause_Ruth2021,0.1831,1171095,0.272202748458661,0.40811389555644,EXO1,Gene,Expression
ENSG00000225249,2.33790450228338e-08,5.72092415631838e-09,4.08658538096737,2.18884214667524e-05,0.0407026847059501,0.00996007201893212,4.08658538096737,Germcells,postnatal_ovary,age-at-menopause_Ruth2021,0.1831,1171095,0.272202748458661,0.467468347243352,LINC00378,Gene,Expression
ENSG00000140525,2.39799266203225e-08,5.58080783009512e-09,4.29685582273737,8.66188951179608e-06,0.0417488135869333,0.00971613088947833,4.29685582273737,Germcells,postnatal_ovary,age-at-menopause_Ruth2021,0.1831,1171095,0.272202748458661,0.257197905473352,FANCI,Gene,Expression
ENSG00000242441,2.40404399522822e-08,5.59240881625694e-09,4.29876297355042,8.58770152243942e-06,0.0418541666956192,0.0097363280909278,4.29876297355042,Germcells,postnatal_ovary,age-at-menopause_Ruth2021,0.1831,1171095,0.272202748458661,0.255290754660302,GTF2A1L,Gene,Expression
ENSG00000214114,2.41447398333708e-08,5.57383635571978e-09,4.33179919403156,7.39478991837333e-06,0.0420357517505549,0.00970399362197412,4.33179919403156,Germcells,postnatal_ovary,age-at-menopause_Ruth2021,0.1831,1171095,0.272202748458661,0.222254534179159,MYCBP,Gene,Expression
ENSG00000184949,2.43049313854214e-08,5.59267731116262e-09,4.34584905102791,6.93689786448885e-06,0.0423146436483764,0.00973679553788641,4.34584905102791,Germcells,postnatal_ovary,age-at-menopause_Ruth2021,0.1831,1171095,0.272202748458661,0.208204677182813,FAM227A,Gene,Expression
ENSG00000196350,2.44642586841905e-08,5.44395467782459e-09,4.49383952144995,3.49751754877434e-06,0.0425920308898363,0.00947787091339965,4.49383952144995,Germcells,postnatal_ovary,age-at-menopause_Ruth2021,0.1831,1171095,0.272202748458661,0.0602142067607678,ZNF729,Gene,Expression
ENSG00000125207,2.45027331068924e-08,5.4833686246141e-09,4.4685547852652,3.93749222946641e-06,0.0426590144768455,0.0095464902024948,4.4685547852652,Germcells,postnatal_ovary,age-at-menopause_Ruth2021,0.1831,1171095,0.272202748458661,0.0854989429455175,PIWIL1,Gene,Expression
ENSG00000243797,2.4503049894361e-08,5.54776084994448e-09,4.41674588309015,5.00989545901955e-06,0.0426595660006755,0.00965859642593452,4.41674588309015,Germcells,postnatal_ovary,age-at-menopause_Ruth2021,0.1831,1171095,0.272202748458661,0.137307845120568,AC004917.1,Gene,Expression
ENSG00000108001,2.45152945788158e-08,5.58411069952022e-09,4.39018778422893,5.66264081214555e-06,0.0426808838744466,0.00972188115227578,4.39018778422893,Germcells,postnatal_ovary,age-at-menopause_Ruth2021,0.1831,1171095,0.272202748458661,0.163865943981787,EBF3,Gene,Expression
