pathway,pval,padj,log2err,ES,NES,size,leadingEdge,qvalue
GOBP_DNA_DAMAGE_RESPONSE,5.98025625234698e-05,0.135570665265045,0.557332238758646,0.711366684366158,1.63662589180335,456,EXO1|FANCI|DNA2|RAD18|BRCA1|CHCHD6|TP63|PHF13|FANCA|TLK1|CCDC117|RBBP8|FMN2|PARP2|SKP2|HMGB1|RAD54B|ASH2L|PARPBP|LIG1|TRIP12|MCM6|FIGNL1|CDC45|MGMT|EYA1|WDR76|FEN1|SMC3|PARP1|TICRR|VRK1|MSH6|MCM3|E2F1|RPA1|MCM4|SMARCA2|GTF2H5|FANCL|MEIOC|TERB1|ZNF365,0.135570665265045
GOBP_DNA_REPAIR,9.26345509156441e-05,0.135570665265045,0.538434096309916,0.742289984878401,1.69444420627345,338,EXO1|FANCI|DNA2|RAD18|BRCA1|FANCA|CCDC117|RBBP8|FMN2|PARP2|SKP2|HMGB1|RAD54B|PARPBP|LIG1|TRIP12|MCM6|FIGNL1|CDC45|MGMT|EYA1|FEN1|SMC3|PARP1|TICRR|MSH6|MCM3|RPA1|MCM4|SMARCA2|GTF2H5|FANCL|MEIOC|TERB1|ZNF365,0.135570665265045
GOMF_NUCLEASE_ACTIVITY,0.000328843605211567,0.166335431964424,0.49849310876659,0.86470971152406,1.7516968425421,91,EXO1|DNA2|PIWIL1|EXD1|STK31|REXO2|RBBP8|FEN1|MRPL44,0.166335431964424
GOBP_DNA_METABOLIC_PROCESS,0.000360254635381013,0.166335431964424,0.49849310876659,0.672486881535265,1.55617371134262,500,EXO1|FANCI|DNA2|RAD18|BRCA1|PRIM1|DSCC1|FANCA|REXO2|CCDC117|RBBP8|FMN2|PARP2|SKP2|HMGB1|RAD54B|PARPBP|LIG1|TRIP12|MCM6|FIGNL1|CDC45|MGMT|EYA1|FEN1|SMC3|PARP1|TICRR|MSH6|MCM3|RPA1|MCM4|RNF212|SMARCA2|GTF2H5|FANCL|MEIOC|TERB1|ZNF365,0.166335431964424
GOMF_ENDONUCLEASE_ACTIVITY,0.000382056766464889,0.166335431964424,0.49849310876659,0.902593990689278,1.7280507621269,57,EXO1|DNA2|PIWIL1|STK31|RBBP8|FEN1|MRPL44,0.166335431964424
GOBP_DNA_REPLICATION,0.000428410917750393,0.166335431964424,0.49849310876659,0.770745558902762,1.69640146676969,197,EXO1|DNA2|RAD18|BRCA1|PRIM1|DSCC1|RBBP8|LIG1|MCM6|CDC45|FEN1|SMC3|PARP1|TICRR|MCM3|RPA1|MCM4,0.166335431964424
GOMF_RNA_NUCLEASE_ACTIVITY,0.000482759313892097,0.166335431964424,0.49849310876659,0.893263066321175,1.6925374752555,48,EXO1|PIWIL1|STK31|REXO2|FEN1|MRPL44,0.166335431964424
GOMF_RNA_ENDONUCLEASE_ACTIVITY,0.000496924679978804,0.166335431964424,0.477270815362862,0.936214400035532,1.69047082862379,30,EXO1|PIWIL1|STK31|FEN1|MRPL44,0.166335431964424
GOBP_IMMUNOGLOBULIN_PRODUCTION,0.000565994933392577,0.166335431964424,0.477270815362862,0.936690979110573,1.72212365209745,36,EXO1|MSH6,0.166335431964424
GOBP_POSITIVE_REGULATION_OF_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,0.0005682795762365,0.166335431964424,0.477270815362862,0.891245115589432,1.6942288528241,50,FANCI|SPSB4|SKP2|NDFIP2,0.166335431964424
