pathway,pval,padj,log2err,ES,NES,size,leadingEdge,qvalue
GOMF_TRANSCRIPTION_COREGULATOR_ACTIVITY,0.000916806137356084,0.629908153775208,0.477270815362862,0.705692398222139,1.65136192601204,156,ID4|WNT4|WWOX|NCOA7|ASXL1|CAMTA1|LMO4|SFMBT2|NFKB1|NACA|KDM5B|TGFB1I1|JMJD1C|SMARCE1|ABL1|LMCD1|PSMD9|TOX2|PDLIM1|PARK7|ID1|NFKBIZ|NAB2|RYBP|QKI|SND1|NPM1|NRIP1,0.629908153775208
GOBP_MAMMARY_GLAND_MORPHOGENESIS,0.00170849923106664,0.629908153775208,0.45505986738723,0.931404522621823,1.62234443898808,17,WNT4|PGR|TFAP2C|FGF10|ESR1|WNT5A|NFKB1|KDM5B,0.629908153775208
GOBP_POSITIVE_REGULATION_OF_REPRODUCTIVE_PROCESS,0.0030961177191641,0.743450571248721,0.431707695803346,0.921781013252095,1.60558196196512,17,WNT4|WT1|INSR|WNT5A|EDNRB,0.743450571248721
GOCC_COPI_COATED_VESICLE,0.00444275204704985,0.789455026733835,0.407017918923954,0.926795072744468,1.60849017652314,16,COPZ2|USE1|COPB2,0.789455026733835
GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA,0.00447300671232615,0.789455026733835,0.407017918923954,0.727530460135091,1.61726590990565,97,WNT4|DNM3OS|CDKN2B|WWOX|ITGB8|PTK2|FERMT1|VASN|WNT5A|CILP|EMILIN1|SLC2A10|TGFB1I1|SKOR2|COL1A2|SPRED1|ABL1,0.789455026733835
GOBP_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS,0.00567653045732112,0.840757233289894,0.407017918923954,0.532123269818134,1.36080298757272,499,ID4|WNT4|DNM3OS|WT1|PLPP3|WWOX|CXCL10|TNKS|SEM1|PGR|TFAP2C|INSR|FGF10|NCOA7|ESR1|PTMA|SHC1|ASXL1|MAF|CAMTA1|WNT5A|IL1B|LMO4|EGFR|NFKB1|ZFAT|ATOH7|NACA|JAK2|NFATC1|PTEN|ACVR2A|TGFB1I1|IGF1|MITF|SMARCE1|LRP6|RORB|ABL1|PSMD9|TOX2|GDF7|PDLIM1|NFIC|MEIS1|PARK7|APP|NR4A1|SQSTM1|BCAS3|DCN|PTCH1|NFKBIZ|FOXF2|MLLT11|PRKD1|FOXO1|TET1,0.840757233289894
GOMF_MIRNA_BINDING,0.00638408394300138,0.88427219297876,0.407017918923954,0.915899022743473,1.58957964289503,16,DNM3OS|QKI,0.88427219297876
GOBP_GLAND_MORPHOGENESIS,0.00706678270836025,0.88427219297876,0.407017918923954,0.807909631875997,1.62658647156395,47,ID4|WNT4|PGR|TFAP2C|FGF10|ESR1|WNT5A|EGFR|NFKB1|KDM5B|TGM2|IGF1|PTN|GDF7,0.88427219297876
GOBP_MALE_SEX_DIFFERENTIATION,0.00945327272101472,0.88427219297876,0.380730400722792,0.81544782324478,1.62943892050422,44,WNT4|WT1|TFAP2C|INSR|FGF10|ESR1|WNT5A|FNDC3A|ACVR2A|REN,0.88427219297876
GOBP_REPRODUCTIVE_SYSTEM_DEVELOPMENT,0.00961886481484773,0.88427219297876,0.380730400722792,0.701236004101896,1.55881457392433,97,ID4|WNT4|WT1|PGR|TFAP2C|INSR|FGF10|ESR1|WNT5A|FNDC3A|KDM5B|ACVR2A|IGF1|REN|GDF7,0.88427219297876
GOBP_CIRCADIAN_RHYTHM,0.0113535186889748,0.90363001070861,0.380730400722792,0.746869696063034,1.57925823364339,70,ID4|GPR176|ASS1|ATOH7|PTEN|IGF1|PTGDS|RORB|CRY1|GABRB3|ID1|NLGN1,0.90363001070861
GOMF_TRANSCRIPTION_REGULATOR_ACTIVITY,0.0122368128698207,0.90363001070861,0.380730400722792,0.52795024033479,1.32574063357822,402,ID4|WNT4|WT1|TSHZ3|WWOX|EBF1|PGR|TFAP2C|NCOA7|ESR1|ASXL1|MAF|CAMTA1|LMO4|SFMBT2|NFKB1|ZFAT|ATOH7|NACA|KDM5B|NFATC1|TGFB1I1|MITF|JMJD1C|E2F6|SMARCE1|SKOR2|RORB|ABL1|ZNF280A|LMCD1|PSMD9|TOX2|TWIST2|PDLIM1|NFIC|MEIS1|PARK7|NR4A1|ID1|NFKBIZ|NAB2|FOXF2|FOXO1|ZNF532|ZNF133|RYBP|QKI|SND1|SKIL|NPM1|NRIP1,0.90363001070861
GOMF_REGULATORY_RNA_BINDING,0.0134440618480272,0.90363001070861,0.380730400722792,0.905681451561519,1.59726797397998,18,DNM3OS|QKI,0.90363001070861
GOBP_POSITIVE_REGULATION_OF_MIRNA_METABOLIC_PROCESS,0.0135795405339533,0.90363001070861,0.380730400722792,0.828471010217027,1.55903490248511,29,DNM3OS|WT1|EGFR|NFKB1,0.90363001070861
GOBP_HIPPOCAMPUS_DEVELOPMENT,0.0139307522407747,0.90363001070861,0.380730400722792,0.826088323356946,1.59656512698833,34,ID4|VPS13B|PTEN|DCLK2,0.90363001070861
GOBP_GLAND_DEVELOPMENT,0.0146224449615341,0.90363001070861,0.380730400722792,0.629784800706581,1.4483731268311,139,ID4|WNT4|WT1|PGR|TFAP2C|ALDH1A3|INSR|FGF10|ESR1|ASXL1|ASS1|WNT5A|LMO4|EGFR|NFKB1|JAK2|KDM5B|TGM2|IGF1|ABL1|PTN|GDF7,0.90363001070861
GOBP_DEVELOPMENTAL_PROCESS_INVOLVED_IN_REPRODUCTION,0.0148049447222112,0.90363001070861,0.380730400722792,0.564515388005791,1.3774794096752,268,ID4|WNT4|WT1|VPS13B|PGR|TFAP2C|INSR|DZIP1|FGF10|TDRP|ESR1|MAST2|WNT5A|IL1B|FNDC3A|RPL4|KDM5B|ACVR2A|IGF1|RPL37A|CATSPERE|REN|SYNE1|PTN|GDF7|STK3|PRLR|RPLP1|PTCH1|RPL18|FOXF2|CCNY|QKI|SKIL|RPL35|NRIP1|RPL23|RPL30|NDN|ANTXR2,0.90363001070861
GOBP_DETECTION_OF_LIGHT_STIMULUS,0.0152323574635761,0.90363001070861,0.380730400722792,0.884861761844432,1.5357132265421,16,ATP8A2|PITPNM1,0.90363001070861
GOMF_TRANSCRIPTION_COREPRESSOR_ACTIVITY,0.015628721513346,0.90363001070861,0.352487857583619,0.756545837555086,1.59736258689275,68,ID4|WNT4|LMO4|SFMBT2|KDM5B|LMCD1,0.90363001070861
GOBP_RETROGRADE_VESICLE_MEDIATED_TRANSPORT_GOLGI_TO_ENDOPLASMIC_RETICULUM,0.0161007141201425,0.90363001070861,0.352487857583619,0.854623189108508,1.61692569845996,30,COPZ2|PLPP3|SCFD1|ERGIC3,0.90363001070861
GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION,0.0165878332768912,0.90363001070861,0.352487857583619,0.551311620861937,1.36946356589433,325,WNT4|DNM3OS|WT1|FN1|PGR|TFAP2C|CXCL8|EIF2AK4|ITGB8|GBP1|ESR1|FERMT1|CARHSP1|ACO1|IL1B|CILP|SFMBT2|NFKB1|JAK2|EMILIN1|SLC2A10|LRP1|IGF1|E2F6|MAP3K20|PTRH2,0.90363001070861
GOBP_UROGENITAL_SYSTEM_DEVELOPMENT,0.016607103180471,0.90363001070861,0.352487857583619,0.820981539320475,1.54494105202459,29,ID4|FGF10|ESR1|WNT5A|IGF1|PRLR|PTCH1,0.90363001070861
GOBP_REGULATION_OF_REPRODUCTIVE_PROCESS,0.0166083535351545,0.90363001070861,0.352487857583619,0.786170316160635,1.5709362080334,44,WNT4|WT1|INSR|ESR1|WNT5A|IGF1|PTGDS|STK3|EDNRB,0.90363001070861
GOBP_MAMMARY_GLAND_EPITHELIUM_DEVELOPMENT,0.0179946191474942,0.922987316612224,0.352487857583619,0.87262049662237,1.58387597284524,23,WNT4|PGR|TFAP2C|FGF10|ESR1|WNT5A|JAK2|KDM5B|PRLR|PTCH1,0.922987316612224
GOBP_MITOTIC_CELL_CYCLE_PROCESS,0.0194190768653773,0.922987316612224,0.352487857583619,0.589414586207628,1.40830692304753,200,ID4|EML1|CDK14|CDKN2B|TNKS|INSR|FGF10|IL1B|EGFR|PTEN|BCAT1|IGF1|MAP3K20|SMARCE1|NEK6|RHOU|GNAI1,0.922987316612224
GOBP_NEGATIVE_REGULATION_OF_FAT_CELL_DIFFERENTIATION,0.0197791706825565,0.922987316612224,0.352487857583619,0.867258432382738,1.57414339751968,23,ID4|ASXL1|WNT5A|TGFB1I1,0.922987316612224
GOBP_LIMBIC_SYSTEM_DEVELOPMENT,0.0206119886065667,0.922987316612224,0.352487857583619,0.804213788889054,1.59135358065681,41,ID4|VPS13B|ALDH1A3|PTEN,0.922987316612224
GOBP_FOREBRAIN_GENERATION_OF_NEURONS,0.0215637252760353,0.922987316612224,0.352487857583619,0.863682976877413,1.56765365989745,23,ID4|WNT4|TFAP2C|WNT5A,0.922987316612224
GOBP_REGULATION_OF_OLIGODENDROCYTE_DIFFERENTIATION,0.0222144628223172,0.922987316612224,0.352487857583619,0.90040285109388,1.54905963872198,15,ID4|PTN|DUSP15|QKI,0.922987316612224
GOBP_NEGATIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS,0.0226185279251363,0.922987316612224,0.352487857583619,0.825605764473432,1.53737420959922,28,WNT4|IL1B|NFKB1,0.922987316612224
GOBP_REGULATION_OF_NUCLEAR_DIVISION,0.0228566813366765,0.922987316612224,0.352487857583619,0.815004451741739,1.56715419787444,32,WNT4|INSR|WNT5A|IL1B|IGF1,0.922987316612224
GOBP_MORPHOGENESIS_OF_AN_EPITHELIUM,0.0234055105540693,0.922987316612224,0.352487857583619,0.606570593829042,1.42060476213994,161,ID4|WNT4|RSPO3|WT1|CXCL10|PGR|VCL|TFAP2C|ALDH1A3|FGF10|ESR1|FERMT1|COL5A1|WNT5B|WNT5A|LMO4|EGFR|KDM5B|PTEN|TGM2|TGFB1I1|IGF1|ABL1|DLC1|GDF7|STK3|CLIC4|CD44|ACTG1,0.922987316612224
GOBP_NEGATIVE_REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS,0.024281042123188,0.922987316612224,0.352487857583619,0.867858950063548,1.50620416188789,16,WNT4|NFKB1|KLHL25,0.922987316612224
GOBP_REGULATION_OF_FAT_CELL_DIFFERENTIATION,0.0258266320236555,0.922987316612224,0.352487857583619,0.754846715522728,1.51385676502192,46,ID4|ASXL1|WNT5B|WNT5A|TGFB1I1|STK3,0.922987316612224
GOBP_POSITIVE_REGULATION_OF_FIBROBLAST_PROLIFERATION,0.0276448024012431,0.922987316612224,0.352487857583619,0.820564114820812,1.48377050591431,22,FN1|FGF10|ESR1|WNT5A|EGFR|IGF1|ABL1|DDR2,0.922987316612224
GOBP_TISSUE_MORPHOGENESIS,0.0276526939968662,0.922987316612224,0.352487857583619,0.582619795686527,1.38291596606029,187,ID4|WNT4|RSPO3|WT1|CXCL10|PGR|VCL|TFAP2C|ALDH1A3|FGF10|ESR1|FERMT1|COL5A1|WNT5B|WNT5A|LMO4|EGFR|KDM5B|PTEN|TGM2|TGFB1I1|IGF1|ABL1|DLC1|GDF7|STK3|CLIC4|CD44|ACTG1,0.922987316612224
GOBP_ASTROCYTE_DIFFERENTIATION,0.027654663770499,0.922987316612224,0.352487857583619,0.82329620374236,1.51131830726467,26,ID4|PLPP3|IL1B|LRP1|ABL1|APP,0.922987316612224
GOBP_GOLGI_VESICLE_TRANSPORT,0.0279540139765415,0.922987316612224,0.352487857583619,0.628214882603307,1.4130037658922,111,SORCS1|COPZ2|PLPP3|PKDCC|SCFD1|SEC23A|ANXA13|ERGIC3|COG5,0.922987316612224
