pathway,pval,padj,log2err,ES,NES,size,leadingEdge,qvalue
GOCC_CHROMATIN,1.34132016118076e-05,0.0286774250460445,0.593325476396405,0.746532111765508,1.74483944933597,233,ESR1|E2F6|FOXO1|SOX15|PGR|THRB|BNC2|FOXP2|ATOH7|CUX1|DMRT3|ALX3|TBX3|MITF|TCF23|ASCL1|LMX1A|KLF14|PCGF6|ZEB1|CREB5,0.0274594092257179
GOBP_NEGATIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION,0.000145300313672874,0.155326035316303,0.518848077743792,0.77607834053331,1.74617426231564,144,ESR1|KANK1|MYOC|PDE8B|CD44|PTPRR|FOXO1|ITPR1|CNKSR3|MAP3K20|PDE1C|TGFBR3,0.148728875075447
GOMF_CHROMATIN_BINDING,0.000252370084590027,0.179855746951159,0.49849310876659,0.81402530496573,1.75724721080258,98,ESR1|FOXO1|SOX15|THRB|GATA2|NDN|MITF|GLI3|ASCL1|KLF14|ZEB1,0.172216736656077
GOMF_SEQUENCE_SPECIFIC_DNA_BINDING,0.000606007695365558,0.195883653976197,0.477270815362862,0.670025285784056,1.5871867611863,292,ESR1|ZNF676|ZNF208|E2F6|FOXO1|SOX15|PGR|THRB|BNC2|KCNH2|TWIST2|FOXP2|CPHXL|ATOH7|CUX1|DMRT3|GATA2|ALX3|TBX3|MITF|TERT|TCF23|GLI3|ASCL1|LMX1A|ARID5B|KLF14|ZEB1|CREB5,0.187563890639589
GOBP_NEGATIVE_REGULATION_OF_CELL_COMMUNICATION,0.000793848340870732,0.195883653976197,0.477270815362862,0.65977785085806,1.5671626028199,296,ESR1|KANK1|HSPG2|MYOC|PDE8B|CD44|PTPRR|SORCS3|FOXO1|PTPRO|ITPR1|CNKSR3|MAP3K20|PDE1C|TGFBR3|GATA2|APCDD1L|SFRP4|CD109|TERT|TACR2|GLI3|STRAP|GABRG2|VGLL4|TRIM32|SLMAP,0.187563890639589
GOBP_RESPONSE_TO_ESTROGEN,0.000818846242946531,0.195883653976197,0.477270815362862,0.967884863744347,1.63341689959321,15,ESR1|MSTN|CAV1,0.187563890639589
GOBP_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS,0.000891340580105823,0.195883653976197,0.477270815362862,0.810740775374527,1.71436928497003,83,ESR1|PIM1|TRIM32,0.187563890639589
GOBP_DNA_TEMPLATED_TRANSCRIPTION_INITIATION,0.000966321072407036,0.195883653976197,0.477270815362862,0.875837393147533,1.77055327235515,57,ESR1|FOXO1|ELOC|MITF|GTF2A2|ARID5B,0.187563890639589
GOBP_INTRACELLULAR_RECEPTOR_SIGNALING_PATHWAY,0.00100939656587537,0.195883653976197,0.45505986738723,0.84616568149741,1.76654329628753,71,ESR1|PGR|THRB|PIM1,0.187563890639589
GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE,0.00102288166502065,0.195883653976197,0.45505986738723,0.844280926906691,1.75694890678726,67,ESR1|PIM1|TRIM32,0.187563890639589
GOBP_TRANSCRIPTION_INITIATION_AT_RNA_POLYMERASE_II_PROMOTER,0.0011145804859026,0.195883653976197,0.45505986738723,0.884801804634117,1.72925493717584,47,ESR1|FOXO1|ELOC|GTF2A2|ARID5B,0.187563890639589
GOBP_LIPID_METABOLIC_PROCESS,0.00118119190835564,0.195883653976197,0.45505986738723,0.686054500145232,1.61492431344109,243,ESR1|HSPG2|PDE8B|ACAT1|DGKB|EFR3B|SORBS1|HSD17B6|ADH5|EEF1A2|PCK1,0.187563890639589
GOBP_NUCLEAR_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,0.0012240936469407,0.195883653976197,0.45505986738723,0.892515614024364,1.71734691487272,41,ESR1|PGR|THRB|PIM1,0.187563890639589
GOMF_TRANSCRIPTION_FACTOR_BINDING,0.00128268061537266,0.195883653976197,0.45505986738723,0.754307509379033,1.66337757574344,126,ESR1|PGR|THRB|FOXP2|PIM1|EIF4E|GATA2|TBX3|ELOC|TERT|TCF23|ID4|ASCL1|GTF2A2|VGLL4|TRIM32|RERG,0.187563890639589
GOCC_TRANSCRIPTION_REGULATOR_COMPLEX,0.00150451750533208,0.214443895093333,0.45505986738723,0.786293566648739,1.71600152715248,106,ESR1|E2F6|SOX15|THRB|FOXP2|GATA2|GLI3|ASCL1|GTF2A2,0.205335822929365
GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE,0.00180225038636118,0.219606367881108,0.45505986738723,0.874784883913628,1.70967788667653,47,ESR1|TRIM32,0.210279030092091
GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS,0.00184888429460241,0.219606367881108,0.45505986738723,0.836276339620992,1.71821862283697,63,ESR1|TRIM32,0.210279030092091
GOBP_POSITIVE_REGULATION_OF_CATALYTIC_ACTIVITY,0.0021063631363248,0.234948900875874,0.431707695803346,0.834806956773836,1.68041820609963,53,ESR1|CAP2|CACNA1C|EDNRA|PIM1|EEF1A2|PRLR|CDKN1A|SESN2,0.224969919925677
GOMF_NUCLEAR_RECEPTOR_BINDING,0.00219783817470415,0.234948900875874,0.431707695803346,0.892106455063484,1.65434218540097,30,ESR1|RERG,0.224969919925677
GOMF_MOLECULAR_TRANSDUCER_ACTIVITY,0.00290421968575098,0.262238810644995,0.431707695803346,0.692329301271094,1.58135901024821,201,ESR1|NTSR2|CD44|PTPRR|SORCS3|PGR|PRLHR|ITGA11|THRB|OR11G2|MCHR1|EDNRA|GFRA1|S1PR3|PTPRO|TGFBR3|HTR3E|INSR|LRRN2|SEC62|TACR3|TACR2|HRH1|GPR156|GABRG2|NPFFR2,0.251100745788879
GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE,0.00290549534651418,0.262238810644995,0.431707695803346,0.78544740475656,1.660884645961,83,ESR1|TRIM32,0.251100745788879
GOBP_NEGATIVE_REGULATION_OF_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION,0.00304618141090083,0.262238810644995,0.431707695803346,0.952035103094951,1.60666860765374,15,ESR1|TGFBR3,0.251100745788879
GOBP_CELLULAR_RESPONSE_TO_STEROID_HORMONE_STIMULUS,0.00316225896333536,0.262238810644995,0.431707695803346,0.860961356692237,1.67208978763942,46,ESR1|PGR|EIF4E|PCK1,0.251100745788879
GOBP_STEROID_HORMONE_RECEPTOR_SIGNALING_PATHWAY,0.00327544481213976,0.262238810644995,0.431707695803346,0.919720102037284,1.70142248218251,29,ESR1|PGR|CLOCK,0.251100745788879
GOMF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY,0.00329698377980409,0.262238810644995,0.431707695803346,0.646050603752732,1.5198022951333,255,ESR1|ZNF676|E2F6|FOXO1|SOX15|PGR|THRB|TWIST2|FOXP2|CPHXL|ATOH7|CUX1|DMRT3|GATA2|ALX3|TBX3|MITF|TCF23|GLI3|ASCL1|AFF3|LMX1A|KLF14|ZEB1|CREB5,0.251100745788879
GOBP_HORMONE_MEDIATED_SIGNALING_PATHWAY,0.00338273496003684,0.262238810644995,0.431707695803346,0.875578591057675,1.67520384302577,40,ESR1|PGR|THRB|PIM1|PRLR,0.251100745788879
GOMF_RNA_POLYMERASE_II_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING,0.00386520228644161,0.275460082947072,0.431707695803346,0.663146965026044,1.55240044404031,231,ESR1|ZNF676|E2F6|FOXO1|SOX15|PGR|THRB|TWIST2|FOXP2|CPHXL|ATOH7|CUX1|DMRT3|GATA2|ALX3|TBX3|MITF|TCF23|GLI3|ASCL1|LMX1A|KLF14|ZEB1|CREB5,0.26376047120162
GOBP_MATERNAL_PROCESS_INVOLVED_IN_FEMALE_PREGNANCY,0.00439466636117622,0.287500225877816,0.407017918923954,0.945446996722071,1.59555042129824,15,ESR1|PGR|TCF23,0.275289233332132
GOBP_REGULATION_OF_RESPONSE_TO_STRESS,0.0044172639509534,0.287500225877816,0.407017918923954,0.652713098029977,1.53210328219045,252,ESR1|KANK1|CD44|FOXO1|TEX15|PIM1|TRPC3|MAP3K20|ANO6|SMOC2|CD109|NLRP8|TRIM32|ROCK2|SESN2|MAGEF1|LMNA|UCN|BOK|BCL2|MORF4L1|KMT5A|KAT5|PRRX1|RAB11FIP2|RBX1|CAV1|PTGIS|KCNJ8,0.275289233332132
GOMF_TRANSCRIPTION_COREGULATOR_BINDING,0.00460223708814166,0.287500225877816,0.407017918923954,0.899106745554703,1.6280089349406,25,ESR1|PGR|THRB|FOXP2|GATA2|ELOC|TERT|VGLL4,0.275289233332132
GOBP_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION,0.00471296992283415,0.287500225877816,0.407017918923954,0.833097898855025,1.64502167195229,49,ESR1|TGFBR3|INSR|TRIM32,0.275289233332132
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS,0.00473540341009887,0.287500225877816,0.407017918923954,0.623644138426567,1.4984264646238,326,ESR1|KANK1|MYOC|PDE8B|CD44|PTPRR|FOXO1|PIM1|PTPRO|ITPR1|CNKSR3|MAP3K20|PDE1C|TGFBR3|GATA2|APCDD1L|SFRP4|CD109|TERT|GLI3|STRAP|VGLL4|TRIM32|SLMAP,0.275289233332132
GOBP_PROTEIN_DNA_COMPLEX_ORGANIZATION,0.00491211967483016,0.287500225877816,0.407017918923954,0.887730101521901,1.65586703152401,34,ESR1|GTF2A2,0.275289233332132
GOBP_MUSCLE_CELL_APOPTOTIC_PROCESS,0.00497544824952254,0.287500225877816,0.407017918923954,0.931130532520537,1.62905175549147,20,ESR1|FOXO1|LARGE1,0.275289233332132
